nick,mu,sigma,conservative,ts_rank,elo,elo_rank,career_games,is_outlier,rank_delta
wbcpuholek,38.8276,3.9872,26.8661,1,1260.1,2,96.0,False,1
wbcquantum,38.5066,4.0939,26.225,2,1246.7,7,72.0,False,5
wbczoli,38.5353,4.1594,26.057,3,1259.8,3,96.0,False,0
wbcbeetle,38.4178,4.214,25.7758,4,1253.2,4,84.0,False,0
wbcmatiss,38.0065,4.1686,25.5006,5,1246.8,6,72.0,False,1
wbcbromozel,30.8768,2.1223,24.5098,6,1243.5,11,48.0,False,5
wbcd,33.1262,2.9353,24.3202,7,1246.1,8,108.0,False,1
wbcnguyenminh,32.6696,2.9545,23.806,8,1252.4,5,96.0,False,-3
wbca,33.3894,3.3128,23.451,9,1244.6,9,108.0,False,0
wbcheater,29.3464,2.2609,22.5636,10,1219.5,20,36.0,False,10
wbcg3m,37.0598,4.833,22.5608,11,1263.6,1,108.0,False,-10
wbcc,32.719,3.5695,22.0104,12,1238.3,12,108.0,False,0
wbc3ifndef,31.4467,3.3507,21.3946,13,1223.4,18,132.0,False,5
wbcbb,35.7545,4.8178,21.3012,14,1244.6,9,72.0,False,-5
wbcmartez,31.0619,3.3822,20.9154,15,1223.9,16,132.0,False,1
wbciwbtc,30.4188,3.3793,20.2809,16,1222.7,19,132.0,False,3
wbcfurla,30.8492,3.5994,20.0509,17,1234.9,14,108.0,False,-3
wbcplayer,28.909,3.3872,18.7473,18,1223.7,17,108.0,False,-1
wbcmark,27.8104,3.0677,18.6072,19,1199.0,36,60.0,False,17
wbciron,28.5357,3.5075,18.0131,20,1216.1,21,96.0,False,1
wbcalleb,29.8495,4.1237,17.4784,21,1227.5,15,96.0,False,-6
wbclojzeidon,28.2491,3.5989,17.4523,22,1209.0,28,108.0,False,6
wbcyu20,27.0493,3.3232,17.0798,23,1214.0,23,108.0,False,0
wbcmk108,28.7509,4.0902,16.4802,24,1215.0,22,72.0,False,-2
wbcciaran,31.594,5.3295,15.6054,25,1237.1,13,72.0,False,-12
wbckremufka,27.8212,4.1446,15.3873,26,1213.6,25,60.0,False,-1
wbcdeafbat,23.345,2.8472,14.8034,27,1200.8,31,108.0,False,4
wbcshpek,23.416,3.0141,14.3738,28,1201.5,30,108.0,False,2
wbcsiwer,26.3919,4.0092,14.3643,29,1193.5,38,72.0,False,9
wbcrostas,25.6599,3.7899,14.2903,30,1193.6,37,84.0,False,7
wbcperoxid,22.2035,2.6715,14.1891,31,1154.8,56,108.0,False,25
wbccoldmind,21.9072,2.624,14.0351,32,1179.6,42,108.0,False,10
wbcangst,21.6363,2.6496,13.6876,33,1178.4,43,72.0,False,10
wbctasemnice,25.7072,4.1112,13.3735,34,1192.1,40,96.0,False,6
wbcbogimp,25.5736,4.1823,13.0266,35,1199.7,33,72.0,False,-2
wbcset,25.395,4.2282,12.7105,36,1199.5,35,72.0,False,-1
wbcashot,25.6908,4.3643,12.5978,37,1211.5,27,48.0,False,-10
wbcpeaceman,26.4566,4.6561,12.4884,38,1213.7,24,36.0,False,-14
wbcwonderwall,25.5652,4.4031,12.3558,39,1199.7,33,72.0,False,-6
wbcpangbai,24.9078,4.3745,11.7842,40,1205.9,29,72.0,False,-11
wbcgenghis,21.7206,3.4168,11.4702,41,1193.5,38,108.0,False,-3
wbcnirvana,21.3636,3.5188,10.807,42,1177.9,45,132.0,False,3
wbclasek,24.9076,4.83,10.4175,43,1212.2,26,60.0,False,-17
wbcdistilfire,19.6883,3.1702,10.1776,44,1168.9,51,108.0,False,7
wbcfojtman,21.1766,4.0566,9.0067,45,1171.0,47,96.0,False,2
wbcasz,20.1506,3.7301,8.9603,46,1170.5,48,120.0,False,2
wbcgeordie,16.9839,3.0635,7.7935,47,1169.0,50,84.0,False,3
wbckakosik,17.6409,3.3493,7.5929,48,1155.4,54,48.0,False,6
wbcmichi,17.7074,3.4905,7.2358,49,1177.6,46,108.0,False,-3
wbcvotocek,19.755,4.206,7.1371,50,1184.3,41,72.0,False,-9
wbchajnal,25.0619,6.1039,6.7503,51,1200.4,32,24.0,False,-19
wbcuida,18.6062,3.9676,6.7033,52,1178.4,43,108.0,False,-9
wbcpiggi,20.0722,4.6821,6.026,53,1154.2,59,60.0,False,6
wbcadelstepan,15.0393,4.0826,2.7916,54,1168.7,52,72.0,False,-2
wbcskoupy,14.5394,4.3535,1.4789,55,1152.2,62,60.0,False,7
wbcpurkys,12.2139,3.7797,0.8747,56,1148.2,63,108.0,False,7
wbccrosslet,18.8635,6.015,0.8185,57,1156.8,53,36.0,False,-4
wbcfuzaty,19.9311,6.563,0.2422,58,1170.5,48,24.0,True,-10
wbcseabow,17.9634,6.1453,-0.4724,59,1155.2,55,36.0,False,-4
wbcmulan,15.0278,5.3883,-1.1371,60,1154.2,59,36.0,True,-1
wbccsaba,11.0805,4.1091,-1.2469,61,1133.1,64,108.0,True,3
wbc366,16.5435,5.9923,-1.4335,62,1154.5,57,36.0,True,-5
wbc1211,12.9616,4.8346,-1.5421,63,1154.5,57,72.0,True,-6
wbctorpe,10.405,4.083,-1.8439,64,1132.6,66,108.0,True,2
wbckaktuszka,10.5036,4.1329,-1.8951,65,1132.7,65,108.0,True,0
wbcrichi,10.7596,4.3509,-2.2931,66,1153.0,61,72.0,True,-5
