tournament_round,match_id,team,team_efficiency,team_pts,opp_pts,match_won,score_margin
1,1,China,0.213,23.0,85.0,0,-62.0
1,1,Czechia A,0.787,85.0,23.0,1,62.0
1,2,Czechia D,0.9352,101.0,7.0,1,94.0
1,2,Hungary C,0.0648,7.0,101.0,0,-94.0
1,3,Hungary A,0.8148,88.0,20.0,1,68.0
1,3,Hungary B,0.1852,20.0,88.0,0,-68.0
1,4,Czechia E,0.1111,12.0,96.0,0,-84.0
1,4,Poland A,0.8889,96.0,12.0,1,84.0
1,6,Czechia B,0.6713,72.5,35.5,1,37.0
1,6,Slovakia,0.3287,35.5,72.5,0,-37.0
1,8,Russia,0.8889,96.0,12.0,1,84.0
1,8,Team International C,0.1111,12.0,96.0,0,-84.0
1,9,Czechia C,0.3935,42.5,65.5,0,-23.0
1,9,Team International D,0.6065,65.5,42.5,1,23.0
2,10,China,0.2685,29.0,79.0,0,-50.0
2,10,Team International A,0.7315,79.0,29.0,1,50.0
2,11,Czechia B,0.7963,86.0,22.0,1,64.0
2,11,Czechia D,0.2037,22.0,86.0,0,-64.0
2,12,Poland A,0.8148,88.0,20.0,1,68.0
2,12,Team International D,0.1852,88.0,20.0,0,68.0
2,13,Czechia E,0.463,50.0,58.0,0,-8.0
2,13,Slovakia,0.537,58.0,50.0,1,8.0
2,14,Czechia C,0.5365,51.5,44.5,0,7.0
2,14,Czechia F,0.4635,44.5,51.5,0,-7.0
2,15,Czechia A,0.463,50.0,58.0,0,-8.0
2,15,Hungary A,0.537,58.0,50.0,1,8.0
2,16,Hungary B,0.9907,107.0,1.0,1,106.0
2,16,Hungary C,0.0093,1.0,107.0,0,-106.0
2,17,Poland B,0.3056,33.0,75.0,0,-42.0
2,17,Russia,0.6944,75.0,33.0,1,42.0
2,18,Team International B,0.75,81.0,27.0,1,54.0
2,18,Team International C,0.25,27.0,81.0,0,-54.0
3,19,Czechia A,0.8611,93.0,15.0,1,78.0
3,19,Team International B,0.1389,15.0,93.0,0,-78.0
3,20,Czechia B,0.2176,23.5,84.5,0,-61.0
3,20,Poland A,0.7824,84.5,23.5,1,61.0
3,21,Poland B,0.5556,60.0,48.0,1,12.0
3,21,Team International D,0.4444,60.0,48.0,0,12.0
3,22,Czechia D,0.2135,20.5,75.5,0,-55.0
3,22,Hungary A,0.7865,75.5,20.5,1,55.0
3,23,Czechia F,0.2315,25.0,83.0,0,-58.0
3,23,Slovakia,0.7685,83.0,25.0,1,58.0
3,24,Czechia C,0.6181,45.5,62.5,0,-17.0
3,24,Hungary B,0.5787,62.5,45.5,1,17.0
3,24,Team International D,0.0278,45.5,62.5,0,-17.0
3,25,China,0.9722,105.0,3.0,1,102.0
3,25,Hungary C,0.0278,3.0,105.0,0,-102.0
3,26,Russia,0.4306,46.5,61.5,0,-15.0
3,26,Team International A,0.5694,61.5,46.5,1,15.0
3,27,Czechia E,0.6389,69.0,39.0,1,30.0
3,27,Team International C,0.3611,39.0,69.0,0,-30.0
