player,opponent,games,p_elo,p_bayes,ci_lower,ci_upper,uncertainty,signal,abs_signal
wbcplayer,wbcdistilfire,1,0.5782,0.4,0.0676,0.8059,0.7383,-0.1782,0.1782
wbcdistilfire,wbcplayer,1,0.4218,0.6,0.1941,0.9324,0.7383,0.1782,0.1782
wbcplayer,wbcrostas,1,0.5432,0.4,0.0676,0.8059,0.7383,-0.1432,0.1432
wbcrostas,wbcplayer,1,0.4568,0.6,0.1941,0.9324,0.7383,0.1432,0.1432
wbcnguyenminh,wbcperoxid,1,0.6369,0.5,0.0943,0.9057,0.8114,-0.1369,0.1369
wbcperoxid,wbcnguyenminh,1,0.3631,0.5,0.0943,0.9057,0.8114,0.1369,0.1369
wbcyu20,wbcc,1,0.4651,0.6,0.1941,0.9324,0.7383,0.1349,0.1349
wbcc,wbcyu20,1,0.5349,0.4,0.0676,0.8059,0.7383,-0.1349,0.1349
wbcplayer,wbclojzeidon,1,0.5211,0.4,0.0676,0.8059,0.7383,-0.1211,0.1211
wbclojzeidon,wbcplayer,1,0.4789,0.6,0.1941,0.9324,0.7383,0.1211,0.1211
wbckremufka,wbcalleb,1,0.48,0.6,0.1941,0.9324,0.7383,0.12,0.12
wbcalleb,wbckremufka,1,0.52,0.4,0.0676,0.8059,0.7383,-0.12,0.12
wbcrichi,wbcpurkys,1,0.5069,0.4,0.0676,0.8059,0.7383,-0.1069,0.1069
wbcpurkys,wbcrichi,1,0.4931,0.6,0.1941,0.9324,0.7383,0.1069,0.1069
wbcpeaceman,wbclojzeidon,1,0.5068,0.4,0.0676,0.8059,0.7383,-0.1068,0.1068
wbclojzeidon,wbcpeaceman,1,0.4932,0.6,0.1941,0.9324,0.7383,0.1068,0.1068
wbcashot,wbcyu20,1,0.4964,0.6,0.1941,0.9324,0.7383,0.1036,0.1036
wbcyu20,wbcashot,1,0.5036,0.4,0.0676,0.8059,0.7383,-0.1036,0.1036
wbcskoupy,wbc1211,1,0.4967,0.6,0.1941,0.9324,0.7383,0.1033,0.1033
wbc1211,wbcskoupy,1,0.5033,0.4,0.0676,0.8059,0.7383,-0.1033,0.1033
